datawarehouse;table_catalog;table_schema;table_name;column_name
Flipside;osmosis;core;dim_labels;blockchain
Flipside;osmosis;core;dim_labels;address
Flipside;osmosis;core;dim_labels;creator
Flipside;osmosis;core;dim_labels;label_type
Flipside;osmosis;core;dim_labels;label_subtype
Flipside;osmosis;core;dim_labels;label
Flipside;osmosis;core;dim_labels;project_name
Flipside;osmosis;core;dim_labels;raw_metadata
Flipside;osmosis;core;dim_liquidity_pools;blockchain
Flipside;osmosis;core;dim_liquidity_pools;module
Flipside;osmosis;core;dim_liquidity_pools;pool_id
Flipside;osmosis;core;dim_liquidity_pools;assets
Flipside;osmosis;core;dim_prices;recorded_at
Flipside;osmosis;core;dim_prices;symbol
Flipside;osmosis;core;dim_prices;currency
Flipside;osmosis;core;dim_prices;price
Flipside;osmosis;core;dim_prices;total_supply
Flipside;osmosis;core;dim_prices;volume_24h
Flipside;osmosis;core;dim_prices;provider
Flipside;osmosis;core;dim_tokens;blockchain
Flipside;osmosis;core;dim_tokens;address
Flipside;osmosis;core;dim_tokens;creator
Flipside;osmosis;core;dim_tokens;label_type
Flipside;osmosis;core;dim_tokens;label_subtype
Flipside;osmosis;core;dim_tokens;label
Flipside;osmosis;core;dim_tokens;project_name
Flipside;osmosis;core;dim_tokens;alias
Flipside;osmosis;core;dim_tokens;decimal
Flipside;osmosis;core;dim_tokens;raw_metadata
Flipside;osmosis;core;dim_vote_options;vote_id
Flipside;osmosis;core;dim_vote_options;description
Flipside;osmosis;core;ez_icns;blockchain
Flipside;osmosis;core;ez_icns;creator
Flipside;osmosis;core;ez_icns;address
Flipside;osmosis;core;ez_icns;label
Flipside;osmosis;core;ez_icns;project_name
Flipside;osmosis;core;ez_icns;start_date
Flipside;osmosis;core;ez_icns;end_date
1;osmosis;core;ez_prices;recorded_hour
Flipside;osmosis;core;ez_prices;symbol
Flipside;osmosis;core;ez_prices;currency
Flipside;osmosis;core;ez_prices;price
Flipside;osmosis;core;fact_airdrop;block_id
Flipside;osmosis;core;fact_airdrop;block_timestamp
Flipside;osmosis;core;fact_airdrop;tx_id
Flipside;osmosis;core;fact_airdrop;tx_succeeded
Flipside;osmosis;core;fact_airdrop;transfer_type
Flipside;osmosis;core;fact_airdrop;sender
Flipside;osmosis;core;fact_airdrop;amount
Flipside;osmosis;core;fact_airdrop;currency
Flipside;osmosis;core;fact_airdrop;decimal
Flipside;osmosis;core;fact_airdrop;receiver
Flipside;osmosis;core;fact_blocks;block_id
Flipside;osmosis;core;fact_blocks;block_timestamp
Flipside;osmosis;core;fact_blocks;chain_id
Flipside;osmosis;core;fact_blocks;tx_count
Flipside;osmosis;core;fact_blocks;proposer_address
Flipside;osmosis;core;fact_blocks;validator_hash
Flipside;osmosis;core;fact_daily_balances;date
Flipside;osmosis;core;fact_daily_balances;balance_type
Flipside;osmosis;core;fact_daily_balances;address
Flipside;osmosis;core;fact_daily_balances;currency
Flipside;osmosis;core;fact_daily_balances;decimal
Flipside;osmosis;core;fact_daily_balances;balance
Flipside;osmosis;core;fact_governance_proposal_deposits;block_id
Flipside;osmosis;core;fact_governance_proposal_deposits;block_timestamp
Flipside;osmosis;core;fact_governance_proposal_deposits;tx_id
Flipside;osmosis;core;fact_governance_proposal_deposits;tx_succeeded
Flipside;osmosis;core;fact_governance_proposal_deposits;depositor
Flipside;osmosis;core;fact_governance_proposal_deposits;proposal_id
Flipside;osmosis;core;fact_governance_proposal_deposits;amount
Flipside;osmosis;core;fact_governance_proposal_deposits;currency
Flipside;osmosis;core;fact_governance_proposal_deposits;decimal
Flipside;osmosis;core;fact_governance_submit_proposal;block_id
Flipside;osmosis;core;fact_governance_submit_proposal;block_timestamp
Flipside;osmosis;core;fact_governance_submit_proposal;tx_id
Flipside;osmosis;core;fact_governance_submit_proposal;tx_succeeded
Flipside;osmosis;core;fact_governance_submit_proposal;proposer
Flipside;osmosis;core;fact_governance_submit_proposal;proposal_id
Flipside;osmosis;core;fact_governance_submit_proposal;proposal_type
Flipside;osmosis;core;fact_governance_submit_proposal;proposal_title
Flipside;osmosis;core;fact_governance_submit_proposal;proposal_description
Flipside;osmosis;core;fact_governance_validator_votes;proposal_id
Flipside;osmosis;core;fact_governance_validator_votes;validator
Flipside;osmosis;core;fact_governance_validator_votes;validator_address
Flipside;osmosis;core;fact_governance_validator_votes;memo
Flipside;osmosis;core;fact_governance_validator_votes;vote
Flipside;osmosis;core;fact_governance_validator_votes;voting_power
Flipside;osmosis;core;fact_governance_validator_votes;version
Flipside;osmosis;core;fact_governance_validator_votes;created_at
